Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,avg_test_loss_0,avg_test_loss_1
lstm->lstm,,,,,,,,,
,16,mse,mse,{'units': 1},40,0.005334806,0.005631755,0.017836641,0.01085582
,16,mse,mse,{'units': 2},40,0.004140371,0.004399088,0.009322546,0.005493148
,16,mse,mse,{'units': 4},40,0.002167888,0.002381505,0.003845371,0.002142005
,16,mse,mse,{'units': 8},40,0.001014576,0.001031164,0.001769044,0.000942402
,16,mae,mse,{'units': 1},29.33333333,0.051927247,0.052858663,0.102269883,0.082795322
,16,mae,mse,{'units': 2},40,0.042147987,0.043674498,0.063842315,0.049011896
,16,mae,mse,{'units': 4},40,0.031021982,0.032822073,0.044189951,0.033712828
,16,mae,mse,{'units': 8},40,0.02035504,0.020881131,0.030277711,0.022997547
,32,mse,mse,{'units': 1},40,0.005435021,0.005750394,0.018097416,0.01090036
,32,mse,mse,{'units': 2},40,0.004468218,0.004738284,0.014918839,0.008772747
,32,mse,mse,{'units': 4},40,0.002511879,0.002671489,0.004338127,0.002466728
,32,mse,mse,{'units': 8},40,0.00115833,0.001199536,0.002144221,0.001098982
,32,mae,mse,{'units': 1},38.66666667,0.051519272,0.052766364,0.103106298,0.083442758
,32,mae,mse,{'units': 2},40,0.045380695,0.046448632,0.094059616,0.074741825
,32,mae,mse,{'units': 4},40,0.031925001,0.033865721,0.047983639,0.037377936
,32,mae,mse,{'units': 8},40,0.02372242,0.025148368,0.034541181,0.027432097
,64,mse,mse,{'units': 1},40,0.006058852,0.006318788,0.018646133,0.011190923
,64,mse,mse,{'units': 2},40,0.005141108,0.005420672,0.016555193,0.010153774
,64,mse,mse,{'units': 4},40,0.003756223,0.003976299,0.009134719,0.005047069
,64,mse,mse,{'units': 8},40,0.002538247,0.002740453,0.005189125,0.002850807
,64,mae,mse,{'units': 1},40,0.054386058,0.055332468,0.105243757,0.0853126
,64,mae,mse,{'units': 2},40,0.048471825,0.050162545,0.093031012,0.073343479
,64,mae,mse,{'units': 4},40,0.036618842,0.037741865,0.052972994,0.040725559
,64,mae,mse,{'units': 8},40,0.029332432,0.031091393,0.04202653,0.032004065
,128,mse,mse,{'filters': 5},38,0.003857356,0.003853259,0.009250101,0.002872696
,128,mse,mse,{'filters': 10},40,0.003354821,0.003248574,0.009006799,0.00184125
,128,mse,mse,{'filters': 20},39.33333333,0.003216384,0.003080504,0.007074001,0.00138715
,128,mse,mse,{'filters': 40},35,0.017544408,0.016849073,0.018531847,0.013347944
,128,mae,mse,{'filters': 5},36,0.039960345,0.041186761,0.067298651,0.039845268
,128,mae,mse,{'filters': 10},31.33333333,0.035746499,0.036320219,0.058951009,0.031184716
,128,mae,mse,{'filters': 20},33.66666667,0.034161559,0.034416196,0.054790972,0.026186559
,128,mae,mse,{'filters': 40},28,0.034013201,0.034338052,0.052808933,0.026418661
conv1d->conv1d,,,,,,,,,
,16,mse,mse,{'filters': 1},15.66666667,0.005265114,0.005420838,0.018311244,0.01089494
,16,mse,mse,{'filters': 2},21.66666667,0.003779875,0.003932849,0.006016343,0.004129187
,16,mse,mse,{'filters': 4},24.33333333,0.002040182,0.002179587,0.003039761,0.001768811
,16,mse,mse,{'filters': 8},34.33333333,0.000517816,0.000551226,0.000777407,0.000485761
,16,mae,mse,{'filters': 1},16.33333333,0.050071885,0.050911418,0.102054911,0.081957959
,16,mae,mse,{'filters': 2},20.66666667,0.041200303,0.04244208,0.054717373,0.040802223
,16,mae,mse,{'filters': 4},29.66666667,0.029988948,0.031952617,0.041808877,0.032598374
,16,mae,mse,{'filters': 8},33.33333333,0.015338382,0.016156627,0.020661684,0.016527935
,32,mse,mse,{'filters': 1},28.33333333,0.005251487,0.005404782,0.01821544,0.010806716
,32,mse,mse,{'filters': 2},26.33333333,0.003879122,0.004032808,0.005694494,0.003819667
,32,mse,mse,{'filters': 4},37.33333333,0.002046081,0.002268558,0.003164837,0.001773094
,32,mse,mse,{'filters': 8},40,0.000565777,0.000610329,0.000850451,0.000538705
,32,mae,mse,{'filters': 1},21.66666667,0.050351945,0.051075672,0.101707672,0.081561245
,32,mae,mse,{'filters': 2},28.33333333,0.041486274,0.042807277,0.054870617,0.04042012
,32,mae,mse,{'filters': 4},37.33333333,0.030024779,0.032025777,0.042324316,0.031675741
