Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,unstable_loss,stable_loss
lstm->vector->lstm,,,,,,,,,
,16,mse,mse,{'units': 5},39,0.001484226,0.001546362,0.002442055,0.001716255
,16,mse,mse,{'units': 10},39.33333333,0.001002955,0.001018566,0.001278483,0.000741722
,16,mse,mse,{'units': 20},40,0.000765082,0.000770871,0.000901022,0.000441506
,16,mse,mse,{'units': 40},40,0.000688255,0.000690159,0.00079685,0.000361472
,16,mae,mse,{'units': 5},35.33333333,0.023499013,0.023828382,0.030890148,0.026820903
,16,mae,mse,{'units': 10},36.33333333,0.018165403,0.018159953,0.02150206,0.01701769
,16,mae,mse,{'units': 20},38.66666667,0.015957231,0.015736962,0.016647695,0.010966387
,16,mae,mse,{'units': 40},32,0.015718581,0.015456848,0.016001799,0.010274716
,32,mse,mse,{'units': 5},36.33333333,0.001816877,0.001939196,0.003108805,0.002062028
,32,mse,mse,{'units': 10},40,0.001343339,0.001362711,0.001861523,0.001016807
,32,mse,mse,{'units': 20},39,0.001273227,0.001283089,0.001650381,0.000812547
,32,mse,mse,{'units': 40},40,0.00122029,0.001205508,0.00153784,0.000697865
,32,mae,mse,{'units': 5},40,0.025902089,0.026226281,0.033797365,0.02791181
,32,mae,mse,{'units': 10},40,0.021262064,0.021182726,0.026061382,0.01933669
,32,mae,mse,{'units': 20},40,0.019837015,0.019599312,0.022897067,0.015645051
,32,mae,mse,{'units': 40},40,0.01930017,0.019009118,0.021318511,0.013504452
,64,mse,mse,{'units': 5},40,0.002239064,0.002418015,0.003782492,0.002440067
,64,mse,mse,{'units': 10},40,0.001808823,0.001871029,0.002700715,0.001521014
,64,mse,mse,{'units': 20},40,0.001717769,0.001739811,0.002476145,0.001335265
,64,mse,mse,{'units': 40},37,0.001670088,0.001685761,0.002342073,0.001171001
,64,mae,mse,{'units': 5},40,0.028565421,0.028865652,0.037172541,0.030261179
,64,mae,mse,{'units': 10},40,0.0250303,0.02502235,0.031827933,0.023022362
,64,mae,mse,{'units': 20},40,0.023706024,0.023500318,0.029355368,0.020321877
,64,mae,mse,{'units': 40},40,0.023130008,0.022770212,0.028238067,0.018809925
,128,mse,mse,{'units': 5},40,0.002877215,0.003109912,0.005092941,0.003332432
,128,mse,mse,{'units': 10},40,0.00249871,0.002681196,0.004247176,0.002635882
