Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,unstable_loss,stable_loss
lstm->lstm,,,,,,,,,
,16,mse,mse,{'units': 1},40,0.002849731,0.003046789,0.004730432,0.003737269
,16,mse,mse,{'units': 2},40,0.002019574,0.002216213,0.003848379,0.002922412
,16,mse,mse,{'units': 4},40,0.000991915,0.001069469,0.002311662,0.001700441
,16,mse,mse,{'units': 8},40,0.000226288,0.000265054,0.000451978,0.000458602
,16,mae,mse,{'units': 1},40,0.036181773,0.037066936,0.048942629,0.044675589
,16,mae,mse,{'units': 2},34.66666667,0.028147945,0.029219557,0.040925,0.036575927
,16,mae,mse,{'units': 4},39.66666667,0.02051233,0.02129261,0.03161578,0.027633191
,16,mae,mse,{'units': 8},40,0.009925667,0.010586987,0.014454974,0.014270727
,32,mse,mse,{'units': 1},40,0.003466106,0.00372958,0.005658859,0.004753322
,32,mse,mse,{'units': 2},40,0.002240279,0.002350656,0.003972953,0.003196272
,32,mse,mse,{'units': 4},40,0.001057681,0.001148788,0.00244504,0.001804506
,32,mse,mse,{'units': 8},40,0.000253067,0.000297539,0.000497902,0.000511557
,32,mae,mse,{'units': 1},40,0.03634522,0.037439451,0.049478531,0.044703125
,32,mae,mse,{'units': 2},38,0.028425274,0.029410938,0.040757528,0.036800244
,32,mae,mse,{'units': 4},39.33333333,0.021583832,0.022506754,0.0306132,0.028230684
,32,mae,mse,{'units': 8},40,0.010658395,0.011372699,0.015750484,0.015120284
,64,mse,mse,{'units': 1},40,0.003838725,0.004242523,0.005928534,0.005157603
,64,mse,mse,{'units': 2},39.66666667,0.002368017,0.002523392,0.004046403,0.003354124
,64,mse,mse,{'units': 4},40,0.001209002,0.001365597,0.002500234,0.001905333
,64,mse,mse,{'units': 8},40,0.000316097,0.000388396,0.00056646,0.000569693
,64,mae,mse,{'units': 1},40,0.037029679,0.038545217,0.050349558,0.045221484
,64,mae,mse,{'units': 2},40,0.02973329,0.03098961,0.042194801,0.037901994
,64,mae,mse,{'units': 4},40,0.022411261,0.023447753,0.030700457,0.028643081
,64,mae,mse,{'units': 8},40,0.011292211,0.012088712,0.016777476,0.015939511
,128,mse,mse,{'units': 1},40,0.00393353,0.004405989,0.006052237,0.005421233
,128,mse,mse,{'units': 2},40,0.002677177,0.002889221,0.004554794,0.003790794
,128,mse,mse,{'units': 4},40,0.001420735,0.001613487,0.00274217,0.00202408
,128,mse,mse,{'units': 8},40,0.000510821,0.000630034,0.000891776,0.000784659
,128,mae,mse,{'units': 1},40,0.038535122,0.040636244,0.051415179,0.046758824
,128,mae,mse,{'units': 2},40,0.030938348,0.031674673,0.042779596,0.038836128
,128,mae,mse,{'units': 4},40,0.023969797,0.025138388,0.030766978,0.029222293
,128,mae,mse,{'units': 8},40,0.013311497,0.014061883,0.018989289,0.017476676
conv1d->conv1d,,,,,,,,,
,16,mse,mse,{'filters': 1},18.33333333,0.003879076,0.004382967,0.00582319,0.00521785
,16,mse,mse,{'filters': 2},21.33333333,0.002495108,0.002769858,0.004482859,0.003927156
,16,mse,mse,{'filters': 4},21.66666667,0.001329052,0.001456197,0.002780511,0.002267707
,16,mse,mse,{'filters': 8},19.33333333,0.000357923,0.000404419,0.00060154,0.000574798
,16,mae,mse,{'filters': 1},16.66666667,0.037921923,0.040167375,0.049831631,0.045084943
